Date;Bitcoin Core (BTC) Price;Money Supply;Price Volatility;Daily Transactions;Block Size;Transaction Fees;Inflation Rate
06/02/2011;0.89;5321500;164.84470998697208;876;1586;0.17826263;174.722
07/02/2011;0.89;5330350;164.98770046094242;861;1685;0.10112588;173.646
08/02/2011;0.88;5340500;165.32833787549143;888;1316;0.31547204;172.767
09/02/2011;0.91;5348900;164.88068192375147;879;1615;0.17736992;171.759
10/02/2011;1.03;5358500;167.7643209849874;1246;1973;0.06551728;171.09
11/02/2011;0.97;5367800;170.75227083540915;2038;3699;0.88294408;170.405
12/02/2011;1.03;5377100;170.44535309503232;2349;3830;0.48910687;169.63
13/02/2011;1.07;5386900;170.42037258190857;1931;3075;0.74186934;168.559
14/02/2011;1.05;5396800;165.44022388375868;1803;2724;0.25;167.665
15/02/2011;1.07;5406600;164.22118419911433;2020;3790;2.73;166.986
16/02/2011;1.05;5417850;164.8384118838332;2181;2906;0.24346193;166.26
17/02/2011;1.05;5429450;157.31949837981372;2104;2604;0.59;165.272
18/02/2011;1.04;5441000;151.60970618763542;2273;2962;0.13346193;164.492
19/02/2011;0.9;5451600;162.94818022464415;2027;3272;0.52;163.776
20/02/2011;0.93;5459650;154.7555755255927;1597;3104;0.54;162.843
21/02/2011;0.85;5469550;158.03533761048095;1951;2896;0.5;161.914
22/02/2011;0.84;5479250;157.6103578608677;1998;2909;0.11;160.755
23/02/2011;0.87;5489800;157.48158487322837;2155;3234;0.25546822;159.712
24/02/2011;0.9;5501950;155.51709263628445;2285;2904;0.40785377;159.239
25/02/2011;0.98;5512300;156.59914853000396;2093;3093;0.13769472;158.787
26/02/2011;0.94;5523550;158.21142119264914;2072;2842;0.46097152;158.273
27/02/2011;0.95;5537350;158.31009373627379;1915;2169;0.50049575;157.881
28/02/2011;0.91;5549550;160.1537337992546;2302;2991;1.09;157.514
01/03/2011;0.87;5557050;161.7688027721652;1699;3826;0.60445377;156.7
02/03/2011;0.94;5563550;162.20177580701602;2827;6904;0.33085377;155.89
03/03/2011;0.93;5571950;160.1099748665739;1926;3643;0.4578;155.383
04/03/2011;0.93;5581250;115.97230788063004;3197;5045;7.0163;154.729
05/03/2011;0.91;5592300;116.42064029348319;1988;3144;0.7108;154.242
06/03/2011;0.9;5606150;115.90675269591938;2015;3004;2.47320002;153.85
07/03/2011;0.87;5619850;105.5528398862849;2049;2375;5.2014;153.443
08/03/2011;0.89;5630400;100.5549142974418;1930;3029;5.92707488;153.205
09/03/2011;0.87;5639750;100.86694479695981;2457;4480;4.05000002;152.796
10/03/2011;0.86;5647750;100.87042268441138;1813;3928;3.17779297;152.239
11/03/2011;0.91;5653250;102.1644569191921;1706;5008;3.18833744;151.737
12/03/2011;0.89;5659750;92.0815369210134;1848;4800;5.61222915;151.349
13/03/2011;0.91;5666750;90.3339978253069;3012;6235;1.53693618;150.808
14/03/2011;0.9;5672600;87.53832384113147;2666;6899;1.89539295;150.374
15/03/2011;0.89;5678200;86.19746474723352;2655;7380;1.80522325;149.877
16/03/2011;0.87;5683800;86.27967714844607;2837;8201;1.66139999;149.432
17/03/2011;0.86;5690600;85.81547478307907;3338;7227;1.8;148.987
18/03/2011;0.84;5697650;85.91004850797832;3214;6431;1.36939294;148.534
19/03/2011;0.8;5703650;87.05635565502877;2751;7063;1.40139999;147.969
20/03/2011;0.77;5709400;87.64890340143396;3016;7673;1.18779295;147.187
21/03/2011;0.76;5716250;73.02040024196893;3865;9838;2.5170787;146.507
22/03/2011;0.75;5723650;71.72541986494547;5931;10909;9.24789295;145.877
23/03/2011;0.8;5729600;69.4923209240101;2339;6344;11.0502;145.043
24/03/2011;0.84;5737450;71.60018739697915;4382;8778;16.9935627;144.485
25/03/2011;0.87;5745050;71.60018739697915;2188;5278;8.41023194;143.837
26/03/2011;0.88;5753700;70.68417312188784;2002;4363;5.1827;143.188
27/03/2011;0.87;5760600;63.58149967558398;3330;8066;4.4501;142.567
28/03/2011;0.83;5767750;64.01054898245081;2486;6837;6.4002327;141.921
29/03/2011;0.81;5776150;64.15982776824129;3145;6656;4.3;141.286
30/03/2011;0.79;5784300;63.12675474918962;2536;5296;3.48010001;140.546
31/03/2011;0.79;5792100;61.44531634655169;1693;4101;4.0509;139.829
01/04/2011;0.78;5802150;54.17729146692823;2086;3894;3.91;139.412
02/04/2011;0.78;5810950;54.194523259726175;1563;3464;3.41;139.006
03/04/2011;0.78;5819950;54.19452325972617;1802;3603;2.84040002;138.586
04/04/2011;0.78;5828700;53.922749787799624;1792;3500;4.1491133;138.11
05/04/2011;0.69;5837600;67.73237608684828;2368;4738;6.00815472;137.731
06/04/2011;0.69;5847300;67.18467092855076;2075;3871;5.0305;137.357
07/04/2011;0.73;5854750;70.0650697879626;1861;4402;4.73030001;136.733
08/04/2011;0.75;5862050;70.77003356447044;1672;4153;3.0302;136.154
09/04/2011;0.75;5870350;70.74894029682757;1783;4186;4.2501;135.591
10/04/2011;0.74;5878150;67.27037253680804;1712;4001;4.2;134.68
11/04/2011;0.74;5886800;67.07930214919067;1745;3855;5.32368921;133.984
12/04/2011;0.77;5894950;68.27948639125505;1965;4810;4.34709964;133.366
